Player,Matches,Maidens,Wickets,Best,Average,Economy,Strikerate,Fifer
SN Thakur,31,10,50,4/37,27.06,6.13,26.46,0
Mohammed Siraj,23,19,43,4/32,18.95,4.62,24.60,0
Kuldeep Yadav,28,13,42,4/6,30.69,5.54,33.23,0
YS Chahal,22,2,36,4/17,28.80,5.76,30.00,0
Mohammed Shami,17,6,26,4/63,31.15,6.09,30.65,0
M Prasidh Krishna,14,7,25,4/12,23.92,5.32,26.96,0
HH Pandya,23,7,19,4/24,30.73,5.74,32.10,0
JJ Bumrah,14,8,18,6/19,38.16,5.16,44.33,1
Washington Sundar,15,2,15,3/30,24.66,4.86,30.40,0
DL Chahar,10,3,14,3/27,25.71,5.62,27.42,0
Umran Malik,10,2,13,3/57,30.69,6.54,28.15,0
AR Patel,14,6,13,3/24,32.07,4.82,39.92,0
RA Jadeja,18,2,13,3/37,52.30,5.11,61.38,0
B Kumar,7,0,9,3/42,42.55,5.80,44.00,0
Mukesh Kumar,3,2,4,3/30,17.25,4.60,22.50,0
NA Saini,7,0,4,2/62,105.75,7.05,90.00,0
RD Chahar,1,0,3,3/54,18.00,5.40,20.00,0
DJ Hooda,10,1,3,1/6,39.66,4.76,50.00,0
Shahbaz Ahmed,3,0,3,2/32,41.66,4.80,52.00,0
T Natarajan,2,1,3,2/70,47.66,7.15,40.00,0
Avesh Khan,5,2,3,3/66,71.33,6.02,71.00,0
C Sakariya,1,0,2,2/34,17.00,4.25,24.00,0
KR Sen,1,0,2,2/37,18.50,7.40,15.00,0
KH Pandya,5,1,2,1/26,111.50,5.86,114.00,0
JD Unadkat,1,0,1,1/16,16.00,3.20,30.00,0
K Gowtham,1,0,1,1/49,49.00,6.12,48.00,0
Ravi Bishnoi,1,0,1,1/69,69.00,8.62,48.00,0
R Ashwin,2,1,1,1/53,121.00,6.05,120.00,0
