id,Full Name,Born,Age,Batting_style,Bowling_style,Playing_role,Bio
1,Shubman Gill,"September 08, 1999, Fazilka, Punjab",23y 354d,Right hand Bat,Right arm Offbreak,Opening Batter,"A right-hand top-order batsman from Punjab, Shubman Gill is known for his penchant for big runs and was hence drafted into India Under-19 side as the vice-captain for the 2018 World Cup. He made his first-class debut before that, for Punjab in the Ranji Trophy in late 2017 with a half-century in the game and an attacking 129 in the next match.A constant feature in Rahul Dravid's plans for the Under-19 World Cup, Gill constantly played at an age-group level above his. In 2014, he smacked 351 in Punjab's Inter-District Under-16 tournament, and shared a record opening stand of 587 with Nirmal Singh. On his Under-16 state debut for Punjab, he made an unbeaten double-century in the Vijay Merchant Trophy. Later that year, he went on to share the stage with his idol Virat Kohli while receiving a BCCI award for the best junior cricketer, which he won for two successive years: 2013-14 and 2014-15.When picked for the national Under-19 side, he amassed 351 runs in four innings to be named the Man of the Series during the Youth ODI series at home against England. In the reciprocal tour, his first in English conditions, he top-scored once more, with 278 runs in four innings. India swept both series.While he was still in New Zealand for the World Cup on the day of the 2018 IPL auction, Gill was picked by Kolkata Knight Riders for INR 1.8 crore (USD 281,000 approx)."
2,Virat Kohli,"November 05, 1988, Delhi",34y 296d,Right hand Bat,Right arm Medium,Top order Batter,"India has given to the world many a great cricketer but perhaps none as ambitious as Virat Kohli. To meet his ambition, Kohli employed the technical assiduousness of Sachin Tendulkar and fitness that was in the league of top athletes in the world, not just cricketers. As a result, Kohli became the most consistent all-format accumulator of his time, making jaw-dropping chases look easy, and finding, in his own words, the safest possible way to score runs. Plenty of them.This ambition transferred seamlessly to his captaincy: he demanded more than ever of his bowlers especially the quick ones, often sacrificed a batsman for bowling depth, and led India to a long stay at No. 1 in Test rankings and a first-ever series win in Australia. He is well on his way to end up as India's most successful Test captain.Barring one in Bangladesh, Kohli scored Test hundreds in and against every country he played. He absolutely smashed records for number of matches taken to reach eight, nine, ten and eleven thousand ODI runs. He was a genuine threat to Sachin Tendulkar's record of 49 ODI and 51 Test hundreds.An Under-19 world Cup-winning captain, when he burst onto the scene, Kohli was a precocious talent with a cover drive to kill for. He was destined to be India's next big batsman as the Tendulkar era began to retire, but Kohli wanted to be more: a cricketer whom the opposition would be in awe of, a cricketer whose presence would raise the intensity of the contest. He lived every ball, competed each moment, and made sure he had the fitness and strength to do so. He was widely credited for changing the fitness culture in Indian cricket, introducing endurance tests as a criterion for selection.Kohli was quite simply India's most powerful captain. Centre of every marketing campaign for Indian cricket, he also happened to lead at a time when the BCCI was run by interim administrators who knew better than to draw the ire of Indian cricket's biggest star. There was never any cause to doubt his intent: to do things that will win matches for India, which they did plenty under him."
3,Shikhar Dhawan,"December 05, 1985, Delhi",37y 266d,Left hand Bat,Right arm Offbreak,Opening Batter,"Shikhar Dhawan stunned all observers, and Australia, when he stroked his way to the fastest Test century by a debutant. That debut, in Mohali in 2012-13, came to Dhawan in his ninth year of first-class cricket after he had been written off by almost everybody, not least because India's opening combination had been fixed to the most prolific combination in their Test history: Virender Sehwag and Gautam Gambhir.Dhawan is one in a long line of stroke-players from Delhi, which became the Indian batting capital in the 2000s. He stands upright in his stance, is a bit stiff with his hands when he pushes forward, and is partial to the cover-drive. Those who played domestic cricket with him say he is supremely confident, bordering on showmanship. He is also a flamboyant personality with his ever-changing looks and the twirled moustache.However, the attractive strokes, which were apparent even in the 2003-04 Under-19 World Cup where he was the Player of the Tournament for scoring 505 runs at 84.16 with three centuries, didn't seem to translate into huge seasons in Ranji Trophy. His average stayed steady in the mid-40s, but he didn't quite dare the selectors to overlook him. After lukewarm showing in the IPL and five ODIs, and with the Test openers going well, it seemed Dhawan would be left consigned to domestic cricket and T20 leagues.Fortune turned, though, and both Sehwag and Gambhir lost form dramatically, giving Dhawan a chance at the age of 27 with 81 caps and 5679 first-class runs to his name already. Dhawan grabbed the chance with arguably the best debut by an Indian batsman, smashing 187 off 174 balls to set up India's win in a Test that was reduced to four days. He was picked in India's squad for the Champions Trophy soon after, and carried his sizzling form into that tournament with two centuries in the side's first two matches.Dhawan's form later tailed off in England and Australia in 2014 but he hit back with 412 runs at 51.50 in India's run to the 2015 World Cup semi-finals.Sidharth Monga"
4,Shreyas Santosh Iyer,"December 06, 1994, Mumbai",28y 265d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,"Shreyas Iyer is an attacking top-order batter capable of marrying classical shots with brute force.He made headlines when Delhi Daredevils bought him at the 2015 IPL auction for Rs 2.6 crore (about US$416,000). It was faith he repaid with interest: he made 439 runs that season, and won the IPL Emerging Player of the Year award. Over the next six seasons, he became a mainstay of the side and its captain, making over 400 runs a season for them four times.Iyer came up through the Under-19 ranks, hitting back-to-back fifties in the 2014 World Cup playoffs to help India finish fifth. He made his first-class debut for Mumbai the next domestic season, and after a lukewarm stint in the middle order, was promoted to opener and finished as the team's top run-getter with 809 runs at an average of over 50. He had a blow-out Ranji Trophy season the next year, with 1321 runs at 73, and made a century in the final, where Mumbai won their 41st title.By then calls for Iyer to be fast-tracked into the India side had grown clamorous, but it took nearly another two years before he made his international debut, in the white-ball formats first. His first hundred for India came in an ODI against New Zealand in Hamilton in 2020, and he made a century and fifty on Test debut against the same side a little over a year and a half later, this time at home. In a Ranchi ODI in October 2022, he made a chase of 282 against South Africa look like a walk in a park with a well-paced unbeaten 113 that took India home with plenty of room to spare."
5,Kannaur Lokesh Rahul,"April 18, 1992, Bangalore, Karnataka",31y 132d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter,"A tall, elegant right-hand batsman who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batsmen in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final.Rahul attracted plenty of attention at the subsequent IPL auction, and finally went to Sunrisers Hyderabad for Rs. 1 crore (US$ 166,000 approx.). He was a regular member of their side in the 2014 season, mostly as wicketkeeper-batsman, but his contributions with the bat were steady rather than spectacular.In the long format, however, his technique and application have impressed some of Indian cricket's most respected names. These include Rahul Dravid, with whom Rahul shares not just a name but also a strong rapport, regularly seeking him out for technical and mental advice.Rahul had a middling tour of Australia with the India A team in July-August 2014, getting starts each time he batted in the unofficial Tests but only managing a top score of 52. But his appetite for runs was back to normal by the time the 2014-15 domestic season began, and twin centuries in the Duleep Trophy final earned him a place in India's Test squad on their tour of Australia.A profitable IPL in 2016 set him up to make the Indian ODI and T20 squad that toured Zimbabwe in June, where he became the first batsman from his country to score a century on debut in 50-over cricket.Karthik Krishnaswamy"
6,Rohit Gurunath Sharma,"April 30, 1987, Bansod, Nagpur, Maharashtra",36y 120d,Right hand Bat,Right arm Offbreak,Top order Batter,"Languid and easy on the eye, Rohit Sharma owned all the shots in the book when he emerged from the Mumbai suburbs as heir apparent to the Indian batting greats of the 2000s. It took him time and persistence, but by the 2010s he had become a colossus in white-ball cricket, and the man in charge of perhaps the most formidable league team in the first age of T20.That Rohit had talent was apparent to both the casual observer and to the trained eye. Fans were frustrated at the long wait for the potential to translate into runs, though selectors and captains, knowing better, kept backing him. At one point the word ""talent"" was Rohit's bugbear, a pejorative nickname for him on social media. Once it all clicked, though - the move to open the batting in ODIs late in 2012 was one particular turning point - things came together spectacularly.Rohit scored ODI double-hundreds for fun, won six IPLs in the first 15 editions of the tournament, scored five hundreds at the 2019 ODI World Cup, and when he finally got to open in Tests in 2019, three quick hundreds in his first series in the role, one of them a double.Ironically his IPL franchise nicknamed him ""Hitman"" when he was anything but: more caresser, less hitter. But Rohit still became known as one of the foremost hitters of colossal sixes of his era. So spectacular and certain was his acceleration that people began anticipate a massive score every time he went past 50.His captaincy at Mumbai Indians, whom he led to five titles, won plaudits. He proved himself a methodical, studious and calm leader, one not averse to using technology and data to arrive at decisions. He was an able deputy to Virat Kohli in limited-overs formats in international cricket, winning India two titles in Kohli's absence, and took over as captain in all formats in 2022."
7,Hardik Himanshu Pandya,"October 11, 1993, Choryasi, Gujarat",29y 321d,Right hand Bat,Right arm Medium fast,Allrounder,"Allrounder Hardik Pandya's calling cards brisk seam bowling and powerful ball-striking marked by the ability to hit sixes from the first ball.Hardik, who plays his domestic cricket for Baroda, first caught the eye with an unbeaten 31-ball 61 for Mumbai Indians against Kolkata Knight Riders in the 2015 IPL. That began a long association with Mumbai, where he won four trophies and gained acclaim as a formidable finisher. By the end of the 2022 T20 World Cup, he had come to be seen as a future India captain, thanks to the leadership skills he showed that year in turning an unfancied Gujarat Titans line-up into IPL champions in their first year of existence.Hardik began his India career in 2016 when he was called up for a limited-overs tour to Australia, before impressing with the ball on seamer-friendly pitches in Bangladesh at the Asia Cup. He appeared to be the answer to India's search for a seam-bowling allrounder, and with his sprightly fielding added to the mix, he sealed his spot in India's squad for that year's T20 World Cup.While Hardik batted only twice in the tournament, he bowled the last over against Bangladesh, defending two runs off three balls to help India to a one-run win. A little more than a week after that, Pandya endured the disappointment of bowling a no-ball to reprieve Lendl Simmons, whose unbeaten innings helped eventual champions West Indies clinch the semi-final.Since then, it has not been all smooth sailing. The impact of a serious back injury in 2018 continues to follow Hardik, sometimes limiting him from being able to bowl. And early in 2019, he was embroiled in controversy when he made misogynistic and racist remarks on a talk show, for which he was pulled up by the Indian board.In the 2020s, Hardik grew into his role as a senior player and won praise for his faith in players as a captain and for being a free-thinker. In 2022, after India beat Pakistan in the T20 World Cup, he said he wouldn't have minded losing because the match was so much fun - sentiments he echoed after the 2023 IPL final, where he was all praise for rival captain MS Dhoni, whose Chennai Super Kings beat Gujarat Titans for the title. That year, like in the one before, Hardik turned in an impressive all-round and captaincy performance, making 346 runs and taking nine wickets in Gujarat Titans' run to their second final in a row."
8,Ishan Pranav Kumar Pandey Kishan,"July 18, 1998, Patna, Bihar",25y 41d,Left hand Bat,Wicketkeeper,Wicketkeeper Batter,"A wicketkeeper and left-handed opening batsman from Jharkhand, the same state MS Dhoni hails from, Ishan Kishan led India at the Under-19 World Cup in 2016 in Bangladesh, where his team finished runners-up to West Indies.Even though India had a successful tournament, Kishan struggled for form on seamer-friendly tracks, scoring just 73 runs in six innings.He was first noticed when he struck a 69-ball 87, studded with eight sixes, on a rank Rajkot turner in a Ranji Trophy clash against Saurashtra in October 2015. He then led India Under-19s to a one-day tri-series win in Sri Lanka, also involving the hosts and England, two months later.  He had made his first-class debut for Jharkhand in December 2014 and scored a century and five fifties in his first ten first-class matches.His attacking approach to batting had him picked by Gujarat Lions in the 2016 IPL auction for INR 35 lakh ($US 52,000 approx) at the age of 17."
9,Rishabh Rajendra Pant,"October 04, 1997, Haridwar, Uttarakhand",25y 328d,Left hand Bat,Wicketkeeper,Wicketkeeper Batter,"A match-turning, swashbuckling batter-keeper in the Adam Gilchrist mould, Rishabh Pant has had a starring role in more than a handful of India's biggest Test matches in his first few years in the team.His first Test century came in his third match, on the 2018 tour of England, when he made 114 from No. 7 when up against a target of 464 that he made look almost gettable at points when he was at the crease. Early the following year he produced 159 off 189 balls in a giant India total in Sydney, which sealed their first series in Australia. An encore followed early in 2021, when he made a brisk 97 at the SCG, helping wrest a draw off Starc, Cummins, Lyon and Hazlewood after India were staring down the barrel.Pant's finest batting hour came in the classic that followed in Brisbane: an unbeaten 89 to steer a veritable India third XI home in a tall chase, and to their second series win down under in two visits. In Cape Town at the start of 2022, he made an almost ludicrous 100 off 139 in an India total where the next highest score was 29. And later that year, he set India up with a rapid 146 in the first innings of the postponed last Test of their tour of England from 2021 - only for England to outgun them in a berserker fourth-innings chase.It is a mark of Pant's no-fear, no-brakes batting that in his first four years in the game, he had as many scores between 90 and 100 in Tests as he did hundreds. It is the only way he has known: a year after making his Ranji Trophy debut at 18 in 2015, Pant scored a triple-hundred against Maharashtra, followed by two blistering centuries in a game against Jharkhand a month on - one of them ending in 135 off 67 balls.With Test stats like his, Pant's numbers in T20 - close to 3000 runs over seven seasons for Delhi Capitals, at a strike rate of 148 - don't seem especially remarkable, but he has been a force for the Delhi side, their all-time top-scorer, and was appointed captain in 2021. He was bought at auction by the franchise the day he made a hundred in the 2016 Under-19 World Cup that took India into the semi-finals of that tournament."
10,Suryakumar Ashok Yadav,"September 14, 1990, Mumbai, Maharashtra",32y 348d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,"Hard-hitting 360-degree batter Suryakumar Yadav has all the shots, including a few not in any textbook save the one written by AB de Villiers. he also has a yen for making batting look easy, as he showed during four golden years with Mumbai Indians starting in 2018, during which they won the IPL title twice, thanks in no small part to his 1700-plus runs at a strike rate of around 140.He made 73 on his Ranji Trophy debut, for Mumbai in 2010, and the following season scored 754 from nine games, the most by anyone from his team. That tally included a double-century against Orissa in his third match of the season, and a hundred in the next. He capped the season with yet another hundred, in the Duleep Trophy. After a blip in 2012-13, he was back among the runs the next season, where he finished among Mumbai's top three run-getters.Suryakumar spent four seasons with Kolkata Knight Riders, starting in their second IPL title-winning year, 2014, though with 608 runs from 54 games he didn't quite provide a foretaste of what he would go on to do with Mumbai Indians in the years that followed.Suryakumar's first international came belatedly in 2021, whereupon he hooked the first ball he faced in a T20I, from Jofra Archer, for six. He produced two fifties in his first three T20Is, and the year after, made 117 off 55 in a game where India fell short in the face of a massive 215 by England."
11,Sanju Viswanath Samson,"November 11, 1994, Pulluvila, Vizhinjam, Trivandrum",28y 290d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter,"Sanju Samson was perhaps the first top-drawer Indian player to be known primarily for his feats for his IPL franchise than for the national side. A Rajasthan Royals mainstay, he has made over 3000 runs for them in the course of his first eight seasons.Samson moved to Thiruvananthapuram in Kerala in his early teens after taking his first cricket lessons in Delhi, where his father worked as a police constable. In Kerala, he created waves on the junior circuit with his batting, showing impressive technique and an ability to time the ball crisply. He made it to the India side for the Under-19 Asia Cup in 2011 but did not impress in the tournament, and missed out on selection for India's U-19 World Cup side the following year.Rajasthan Royals bought Samson at the IPL auction in 2013, when he was 18, and save for the two years when the side was out of the league for a ban, he has been a fixture in their line-up. He was appointed captain in 2021, when he made 484 runs, kicking off with a barnstorming 119 off 63 balls in their tournament opener, against Punjab Kings, followed by three 40s in a row later in the season, and then an unbeaten 70 and 82 in back-to-back games. His fine, consistent displays did not reflect in Royals' finishes on the tournament's points table, which continued to be disappointing up until 2022, when they were second (Samson made 458 runs that year).He made his first-class debut in 2011-12, and impressed with bat and as keeper for Kerala in the Ranji Trophy. In 2013-14 he finished with 530 runs at an average of just under 60, including a double-hundred in his first game; that was followed by 475 runs the next season. In 2015-16, he was 20 when he was appointed captain of the Kerala side. In October 2019, in a showcase of his by then formidable white-ball skills, Samson made 212 not out, the highest score in the history of the Vijay Hazare Trophy at the time, for Kerala against Goa.A call-up to the India T20 side came in July 2015, and he made his debut against Zimbabwe in Harare, but then went four and a half years before his next game in the format for India. He made his ODI debut in 2021, which was followed a gap again, of a year before he played his next ODI - in a series in the West Indies, where he made 54 in the second match."
